date,phu_name,at_least_one_dose_cumulative,fully_vaccinated_cumulative,third_dose_cumulative,total_population,percent_at_least_one_dose,percent_fully_vaccinated,percent_3doses,phu_num,active_cases,resolved_cases,deaths,archived_resolved_cases,archived_deaths,percent_active_cases,percent_deaths,percent_resolved_cases
2022-01-07,YORK REGION,997669.0,932682.0,356212.0,1143703,87.22999999999999,81.55,31.15,2270,11583,67553,830,67518.0,865.0,1.0127629288372944,0.07257128817533923,5.906515939889989
2022-01-07,TORONTO,2507391.0,2354884.0,890317.0,2851090,87.94,82.6,31.230000000000004,3895,33124,197457,3600,197330.0,3727.0,1.1618012760032128,0.12626749769386444,6.925667025593721
2022-01-07,SOUTHWESTERN,167983.0,157665.0,56736.0,206207,81.46,76.46,27.51,4913,1287,6693,115,6691.0,117.0,0.624130121673852,0.05576920279136984,3.245767602457725
2022-01-07,HURON PERTH,116126.0,109424.0,49564.0,137903,84.21,79.35,35.94,5183,895,3126,76,3126.0,76.0,0.6490069106545905,0.05511120135167473,2.2668107292807265
2022-01-08,ALGOMA DISTRICT,97764.0,90942.0,42632.0,112839,86.64,80.58999999999999,37.78,2226,701,1824,20,1824.0,20.0,0.6212391105911963,0.017724368347823004,1.6164623933214581
2022-01-08,BRANT COUNTY,123281.0,115373.0,44728.0,144945,85.05,79.60000000000001,30.86,2227,1449,5926,42,5926.0,42.0,0.9996895374107421,0.028976508330746144,4.088447342095278
2022-01-08,DURHAM REGION,596702.0,557287.0,203102.0,671727,88.83,82.96,30.240000000000002,2230,6714,32913,393,32912.0,394.0,0.9995131950926492,0.058505910883439254,4.899758383986351
2022-01-08,GREY BRUCE,134683.0,127124.0,62638.0,167078,80.61,76.09,37.49,2233,718,3627,34,3627.0,34.0,0.42973940315301834,0.020349776750978585,2.1708423610529213
2022-01-08,HALDIMAND-NORFOLK,92073.0,86949.0,35491.0,114141,80.67,76.18,31.09,2234,929,4107,66,4100.0,73.0,0.8139056079760997,0.05782321865061634,3.598181196940626
2022-01-08,"HALIBURTON, KAWARTHA, PINE RIDGE",157159.0,148359.0,68433.0,183151,85.81,81.0,37.36,2235,1285,3176,62,3172.0,66.0,0.701606870833356,0.03385184902075337,1.7340882659663337
2022-01-08,HALTON REGION,519508.0,481055.0,179655.0,579551,89.64,83.0,31.0,2236,6290,25539,231,25521.0,249.0,1.0853229482823772,0.039858442138828165,4.4066872458161574
2022-01-08,CITY OF HAMILTON,472444.0,443254.0,183147.0,552042,85.58,80.28999999999999,33.18,2237,6728,30643,421,30635.0,429.0,1.2187478488955552,0.076262313374707,5.550845768981345
2022-01-08,HASTINGS & PRINCE EDWARD COUNTIES,138416.0,129165.0,65110.0,164832,83.97,78.36,39.5,2238,1517,2948,22,2948.0,22.0,0.9203310036886042,0.013346922927586876,1.7884876722966414
2022-01-08,CHATHAM-KENT,84673.0,79599.0,38917.0,101565,83.37,78.36999999999999,38.32,2240,714,3655,38,3653.0,40.0,0.7029980800472604,0.037414463643971836,3.598680647860976
2022-01-08,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",183576.0,169124.0,99611.0,200252,91.67,84.46000000000001,49.74,2241,1723,5650,23,5650.0,23.0,0.8604158759962448,0.011485528234424624,2.821444979326049
2022-01-08,LAMBTON COUNTY,102742.0,97213.0,33743.0,126574,81.17,76.8,26.66,2242,1462,5265,85,5262.0,88.0,1.1550555406323575,0.06715439189723008,4.159622039281369
2022-01-08,"LEEDS, GRENVILLE AND LANARK DISTRICT",159719.0,150455.0,68967.0,172131,92.78999999999999,87.41,40.07,2243,1327,3088,67,3088.0,67.0,0.7709244703162126,0.038923842887103426,1.7939824900802297
2022-01-08,MIDDLESEX-LONDON,435981.0,406649.0,153045.0,485049,89.88000000000001,83.84,31.55,2244,4713,18429,258,18427.0,260.0,0.9716544101729929,0.05319050240285002,3.7994099565198565
2022-01-08,NIAGARA REGION,394993.0,370949.0,135792.0,460171,85.84,80.61,29.509999999999998,2246,3802,21277,448,21272.0,453.0,0.8262146028324254,0.09735511364253724,4.623715966455948
2022-01-08,NORTH BAY PARRY SOUND DISTRICT,104445.0,98238.0,47895.0,123747,84.39999999999999,79.39,38.7,2247,623,1322,9,1322.0,9.0,0.5034465481991482,0.0072729035855414684,1.0683087266762024
2022-01-08,NORTHWESTERN,71379.0,64780.0,27476.0,76333,93.51,84.86,35.99,2249,679,1592,10,1591.0,11.0,0.889523535037271,0.0131004938886196,2.0855986270682405
2022-01-08,CITY OF OTTAWA,907059.0,836789.0,399559.0,992312,91.41,84.33,40.27,2251,8873,39648,617,39632.0,633.0,0.8941744128862696,0.06217802465353639,3.995517538838591
2022-01-08,PEEL REGION,1295007.0,1214760.0,350944.0,1481534,87.41,81.99,23.69,2253,16002,125853,1000,125821.0,1032.0,1.0800967105716102,0.06749760720982441,8.494776360178031
2022-01-08,PETERBOROUGH COUNTY-CITY,122038.0,114725.0,57050.0,141576,86.2,81.03,40.300000000000004,2255,1011,2780,31,2779.0,32.0,0.7141040854382098,0.02189636661581059,1.9636096513533368
2022-01-08,PORCUPINE,69448.0,63500.0,26954.0,80737,86.02,78.64999999999999,33.379999999999995,2256,839,2595,31,2595.0,31.0,1.0391765857042001,0.0383962743228012,3.214139737666745
2022-01-08,RENFREW COUNTY AND DISTRICT,84549.0,79034.0,30617.0,103045,82.05,76.7,29.709999999999997,2257,681,1253,16,1253.0,16.0,0.6608763161725459,0.015527196855742637,1.2159736037653452
2022-01-08,EASTERN ONTARIO,177343.0,164901.0,61967.0,205075,86.48,80.41,30.220000000000002,2258,2612,7181,126,7165.0,142.0,1.2736803608435938,0.06144093624283799,3.501645739363647
2022-01-08,SIMCOE MUSKOKA DISTRICT,490325.0,459616.0,186506.0,575014,85.27,79.93,32.440000000000005,2260,5046,19976,279,19965.0,290.0,0.877543851106234,0.04852055776033279,3.474002372116157
2022-01-08,SUDBURY AND DISTRICT,170836.0,158985.0,69394.0,196072,87.13,81.08999999999999,35.39,2261,1592,4899,58,4899.0,58.0,0.8119466318495246,0.02958097025582439,2.4985719531600634
2022-01-08,THUNDER BAY DISTRICT,131035.0,121685.0,47391.0,149989,87.36,81.13,31.6,2262,773,4095,72,4095.0,72.0,0.5153711272159959,0.048003520258152264,2.73020021468241
2022-01-08,TIMISKAMING,27060.0,25118.0,13006.0,32164,84.13000000000001,78.09,40.44,2263,211,542,3,540.0,5.0,0.656012933714712,0.00932719810968785,1.6851137918169383
2022-01-08,WATERLOO REGION,499937.0,466061.0,192984.0,573162,87.22,81.31,33.67,2265,5438,24590,318,24590.0,318.0,0.9487719004400152,0.05548169627435176,4.290235570397201
